prohibited_ingredient_list_final
Name;Name;Product type, body parts;Maximum Threshold
Trioxysalen;Trioxysalen;Sun protection products and bronzing products;1 mg/kg
Furocoumarines;Furocoumarines;Sun protection products and bronzing products;1 mg/kg
8-Methoxypsoralen;8-Methoxypsoralen;Sun protection products and bronzing products;1 mg/kg
5-Methoxypsoralen;5-Methoxypsoralen;Sun protection products and bronzing products;1 mg/kg
Safrole;Safrole;Products for dental and oral hygiene;50 ppm
N,N-Diethyl-m-aminophenol sulphate;N,N-Diethyl-m-aminophenol sulphate;Hair dye products;0%
N,N-Diethyl-m-Aminophenol;N,N-Diethyl-m-Aminophenol;Hair dye products;0%
N,N'-Dimethyl-N-Hydroxyethyl-3-nitro-p-phenylenediamine;"N,N&#39;-Dimethyl-N-Hydroxyethyl-3-nitro-p-phenylenediamine";Hair dye products;0%
Me derivs. of 9,10-anthracenedione, 1,4-diamino-, N,N'-mixed 2-hydroxyethyl;"Me derivs. of 9,10-anthracenedione, 1,4-diamino-, N,N&#39;-mixed 2-hydroxyethyl";Hair dye products;0%
m-Phenylenediamine, 4-(phenylazo)-;m-Phenylenediamine, 4-(phenylazo)-;Hair dye products;0%
Laccaic acid;Laccaic acid;Hair dye products;0%
Hydroxypyridinone;Hydroxypyridinone;Hair dye products;0%
Hydroxyethylaminomethyl-p-aminophenol hydrochloride;Hydroxyethylaminomethyl-p-aminophenol hydrochloride;Hair dye products;0%
Hydroxyethylaminomethyl-p-aminophenol;Hydroxyethylaminomethyl-p-aminophenol;Hair dye products;0%
Hydroxyethyl-2,6-dinitro-p-anisidine;Hydroxyethyl-2,6-dinitro-p-anisidine;Hair dye products;0%
HC Blue No 10;HC Blue No 10;Hair dye products;0%
Ethanol, 2,2'-iminobis-, reaction products with epichlorohydrin and 2-nitro-1,4-benzenediamine;"Ethanol, 2,2&#39;-iminobis-, reaction products with epichlorohydrin and 2-nitro-1,4-benzenediamine";Hair dye products;0%
Ethanol, 2,2'-iminobis-, reaction products with epichlorohydrin and 2-nitro-1,4-benzenediamine;"Ethanol, 2,2&#39;-iminobis-, reaction products with epichlorohydrin and 2-nitro-1,4-benzenediamine";Hair dye products;0%
